osm_id,network_id
8031,set()
983,set()
29792,{'423944'}
25212,set()
11102,set()
4056,{'200196'}
17229,{'424424'}
5026,{'252027'}
20209,{'410610'}
20510,{'166368'}
17783,set()
6493,{'430969'}
7726,{'381685'}
20362,{'491073'}
20871,{'570603'}
30221,set()
11895,set()
438,set()
772,{'545960'}
6445,{'571029'}
13523,set()
23614,set()
8019,{'553184'}
24604,{'551344'}
14101,{'150268'}
24359,{'571664'}
25713,set()
271,{'469521'}
7062,{'297072'}
9327,{'314255'}
24748,set()
23940,set()
19074,set()
19296,{'514889'}
7830,set()
1001,{'432624'}
15166,set()
14534,set()
5032,{'418177'}
16185,"{'516378', '570606'}"
13736,set()
6691,"{'205446', '545694'}"
11742,set()
12193,{'545812'}
29694,"{'481994', '423944', '558191'}"
18372,{'424200'}
27276,set()
27389,set()
2394,set()
13462,set()
14887,set()
18795,"{'308848', '430969'}"
20511,{'516481'}
4144,set()
3173,{'237576'}
27685,set()
3997,{'89616'}
1040,"{'537765', '538633'}"
12636,"{'221666', '297243'}"
11845,{'297114'}
155,{'308848'}
2351,{'420733'}
16152,"{'570606', '198977'}"
17059,{'484996'}
20866,{'540930'}
24882,{'467325'}
19734,{'5244'}
8099,set()
11500,{'125068'}
11414,set()
24198,set()
14574,set()
28583,{'252071'}
8683,{'317121'}
8862,{'280854'}
7600,set()
6704,{'516474'}
15463,"{'343808', '461580'}"
27730,{'571029'}
1561,{'5244'}
15722,{'570603'}
16980,{'34576'}
27421,{'558194'}
12358,{'461580'}
2676,{'979'}
19260,{'494721'}
17647,set()
886,{'550170'}
22823,{'308896'}
25846,set()
17251,"{'262488', '538531'}"
28434,set()
26364,{'440699'}
22851,set()
12107,{'534786'}
22977,set()
420,{'556560'}
9412,set()
9823,{'115872'}
395,{'420070'}
27701,{'284740'}
16447,set()
27936,set()
5780,{'252027'}
7186,{'418226'}
14480,"{'154707', '206736'}"
5087,{'308848'}
28534,{'556341'}
10760,{'570603'}
27388,{'343808'}
12600,{'272908'}
22399,set()
9931,set()
4666,{'570877'}
20216,{'570562'}
5025,{'469521'}
7360,set()
12108,set()
1078,{'183977'}
4894,{'570606'}
11266,{'556341'}
9972,"{'223608', '92064'}"
22078,set()
5481,{'282408'}
16991,set()
15336,{'21961'}
23581,{'277735'}
28778,{'410456'}
14670,"{'488478', '206736'}"
15096,set()
938,{'548900'}
947,{'312870'}
18042,{'80973'}
21856,set()
10207,"{'402373', '406834'}"
13389,{'416926'}
10174,set()
25823,set()
8849,set()
16516,set()
335,set()
29622,{'308785'}
26973,{'551764'}
25534,{'282408'}
25741,{'571669'}
23016,{'278245'}
16823,set()
14231,{'544412'}
3040,set()
8002,"{'427370', '284546'}"
7190,{'548642'}
188,set()
13962,set()
11235,set()
29034,set()
7294,set()
29607,set()
12160,set()
7548,{'308848'}
1310,"{'409348', '571024'}"
1948,{'125952'}
4118,set()
24808,set()
14251,{'544412'}
15461,{'494947'}
10284,{'570606'}
20239,{'252873'}
30387,set()
4202,set()
1481,{'252027'}
7350,{'494947'}
26070,set()
30155,set()
3270,"{'292348', '110818', '13783'}"
8627,set()
6944,{'187882'}
8361,set()
29764,{'516442'}
13883,set()
9438,set()
24880,set()
30057,{'395807'}
20838,set()
18827,"{'418226', '273074'}"
17905,{'20490'}
4609,{'308896'}
22167,set()
23949,set()
2155,{'419239'}
20580,{'125068'}
4083,{'410063'}
20073,{'558268'}
15448,set()
14759,set()
19857,set()
16527,{'459660'}
24062,set()
16143,{'17355'}
28954,set()
3929,{'348376'}
23743,{'549010'}
18679,{'286834'}
11378,{'483485'}
24153,{'516442'}
15189,set()
16565,set()
3309,set()
18609,{'282408'}
3095,{'81375'}
13014,set()
15937,set()
5839,{'570606'}
22947,set()
6089,{'553947'}
24106,set()
12023,{'558368'}
4532,{'558194'}
24135,set()
16028,set()
11287,{'15971'}
11877,{'80608'}
15181,{'490688'}
30389,set()
6034,{'479959'}
10798,{'253437'}
3477,set()
13431,{'290056'}
10297,set()
24800,{'297103'}
20905,"{'489937', '179797'}"
10932,set()
2182,set()
4933,set()
5230,{'91025'}
13199,{'252027'}
4287,{'558418'}
2238,set()
14693,set()
22470,{'265497'}
26708,set()
15286,set()
22398,set()
7351,set()
27209,set()
7280,{'289213'}
13029,{'571669'}
15587,set()
25464,{'410520'}
18683,set()
8431,set()
5259,set()
27291,set()
29294,{'224322'}
26803,set()
5521,{'550141'}
23331,{'317214'}
23007,{'125068'}
546,{'251841'}
28801,set()
29356,set()
20952,set()
15555,{'436449'}
27866,set()
11688,{'516481'}
3737,{'551344'}
162,set()
29115,{'357943'}
25147,set()
13681,{'545694'}
22448,{'345312'}
27741,{'550141'}
2281,{'550125'}
28799,{'410456'}
23763,{'549010'}
12288,set()
24152,{'516442'}
22715,set()
15457,{'485444'}
13572,set()
12793,{'319139'}
1467,{'284546'}
21114,{'410520'}
12169,{'252873'}
12140,{'293428'}
5264,set()
13648,{'516474'}
11849,"{'406501', '155254'}"
16246,set()
20808,{'319139'}
1684,{'420733'}
28462,"{'112196', '479959', '321959'}"
5523,{'440699'}
23489,{'232723'}
25391,set()
5093,{'459658'}
30018,{'324445'}
10792,{'440859'}
12524,{'253292'}
8028,{'278420'}
18543,set()
16439,{'284801'}
11224,"{'112924', '183977'}"
8563,{'252071'}
15973,{'25492'}
11861,{'550141'}
8353,{'29806'}
27079,set()
13187,{'460249'}
20449,set()
8457,{'252877'}
30196,set()
6097,{'472324'}
29495,{'102930'}
20822,set()
29295,{'430969'}
1743,set()
7567,set()
5732,{'410063'}
48,set()
23153,set()
19961,set()
18797,{'308848'}
23319,{'526362'}
254,set()
3631,{'423944'}
15472,{'434956'}
22911,set()
6993,set()
12540,{'551273'}
8150,set()
5160,{'226924'}
21415,{'50418'}
295,set()
10195,set()
30394,set()
5872,set()
18304,"{'69900', '90779'}"
11090,set()
23718,set()
2573,set()
9647,{'125068'}
6125,set()
28268,set()
3577,{'20490'}
16525,{'402373'}
19088,set()
10986,{'381685'}
25449,{'277723'}
22281,{'397219'}
10009,{'403913'}
23683,{'166962'}
25007,set()
1737,set()
14879,set()
23201,{'330893'}
21396,{'254593'}
14396,{'310619'}
23406,{'297114'}
9733,{'427104'}
3445,set()
19458,set()
22481,{'415736'}
24036,set()
2156,{'233076'}
5852,set()
6413,{'231823'}
11722,set()
6797,set()
15620,set()
7015,{'223922'}
23567,{'103642'}
19536,set()
21743,{'221766'}
13636,{'252027'}
16404,{'317121'}
17847,{'979'}
28477,{'261797'}
15241,{'490688'}
24499,set()
21243,set()
1408,set()
10265,set()
21286,set()
17874,{'979'}
